,time,S_C,I_C,S_N,I_N
335,501,58.6814168,1.71157496,657.0147302,32.59227802
336,502.5,58.66105352,1.719134995,656.8832535,32.73655798
337,504,58.64089476,1.726722979,656.7509485,32.88143371
338,505.5,58.6209409,1.734339071,656.6178129,33.02690716
339,507,58.60119232,1.741983434,656.483844,33.17298027
340,508.5,58.58164939,1.749656227,656.3490394,33.31965496
341,510,58.56231248,1.757357615,656.2133967,33.46693319
342,511.5,58.54318197,1.76508776,656.0769134,33.6148169
343,513,58.52425823,1.772846827,655.9395869,33.76330803
344,514.5,58.50554163,1.780634981,655.8014149,33.91240853
345,516,58.48703256,1.788452386,655.6623947,34.06212035
346,517.5,58.46873139,1.796299211,655.5225239,34.21244545
347,519,58.45063849,1.80417562,655.3818001,34.36338577
348,520.5,58.43275425,1.812081783,655.2402207,34.51494326
349,522,58.41507903,1.820017869,655.0977832,34.66711989
350,523.5,58.39761321,1.827984046,654.9544851,34.81991761
351,525,58.38035717,1.835980485,654.810324,34.97333838
352,526.5,58.3633113,1.844007357,654.6652972,35.12738417
353,528,58.34647595,1.852064834,654.5194023,35.28205692
354,529.5,58.32985152,1.860153089,654.3726368,35.43735861
355,531,58.31343838,1.868272294,654.2249981,35.5932912
356,532.5,58.2972369,1.876422625,654.0764838,35.74985665
357,534,58.28124747,1.884604256,653.9270913,35.90705694
358,535.5,58.26547046,1.892817364,653.7768182,36.06489402
359,537,58.24990625,1.901062124,653.6256617,36.22336988
360,538.5,58.23455522,1.909338715,653.4736196,36.38248647
361,540,58.21941775,1.917647315,653.3206892,36.54224577
362,541.5,58.20449421,1.925988103,653.1668679,36.70264976
363,543,58.18978498,1.93436126,653.0121534,36.8637004
364,544.5,58.17529045,1.942766965,652.8565429,37.02539967
365,546,58.16101098,1.951205401,652.7000341,37.18774954
366,547.5,58.14694697,1.959676751,652.5426243,37.35075199
367,549,58.13309877,1.968181198,652.384311,37.514409
368,550.5,58.11946679,1.976718926,652.2250918,37.67872253
369,552,58.10605138,1.98529012,652.0649639,37.84369458
370,553.5,58.09285293,1.993894967,651.903925,38.0093271
371,555,58.07987183,2.002533654,651.7419724,38.17562209
372,556.5,58.06710844,2.011206368,651.5791037,38.34258152
373,558,58.05456314,2.019913298,651.4153162,38.51020737
374,559.5,58.04223631,2.028654633,651.2506074,38.67850162
375,561,58.03012833,2.037430565,651.0849749,38.84746624
376,562.5,58.01823958,2.046241284,650.9184159,39.01710322
377,564,58.00657044,2.055086984,650.750928,39.18741453
378,565.5,57.99512127,2.063967856,650.5825087,39.35840216
379,567,57.98389246,2.072884096,650.4131554,39.53006808
380,568.5,57.97288439,2.081835898,650.2428654,39.70241427
381,570,57.96209742,2.090823459,650.0716364,39.87544271
382,571.5,57.95153194,2.099846974,649.8994657,40.04915538
383,573,57.94118833,2.108906643,649.7263508,40.22355426
384,574.5,57.93106695,2.118002664,649.5522891,40.39864132
385,576,57.92116819,2.127135236,649.377278,40.57441855
386,577.5,57.91149242,2.136304561,649.2013151,40.75088791
387,579,57.90204001,2.145510839,649.0243978,40.92805138
388,580.5,57.89281133,2.154754274,648.8465234,41.10591095
389,582,57.88380677,2.164035069,648.6676896,41.28446857
390,583.5,57.8750267,2.173353428,648.4878936,41.46372624
